X,Y,NAME,TYPE,ADDRESS,PHONE,ZIP,BATTALION,WARD,HISTORY_DESCRIPTION,NEAREST_BUS_STOP,NEAREST_METRO,LATITUDE,LONGITUDE,XCOORD,YCOORD,MAR_ID,GIS_ID,GLOBALID,OBJECTID,SE_ANNO_CAD_DATA,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE
-77.01780483,38.88281046,Engine Company 13,Engine House 13,501 4TH STREET SW,(202) 673-3213,20024,6,2,"Organized: November 26, 1904.

Original apparatus: 1904 American LaFrance 70 gallon Combination Chemical Hose Wagon 1904 American LaFrance Metropolitan 700 gpm steam fire engine.

1st Location: 942 G Street SW.

2nd Location: New firehouse 450 6th Street SW with Truck Co.10 and the Foam Unit.

Current apparatus: 2005 Seagrave 1250 gpm pumper.

Engine 13
Ambulance 13
Truck Company 10
Foam Unit 1
Foam Unit 2
Twinned Agent Unit 1
Foam Unit Trailer",70 71,L'Enfant Plaza,38.882793,-77.017572,398441.4,135024.88,311526,Fire_023,{94E9C818-92E2-4A28-87C5-E5731A298179},1,,,,,
-77.00829593,38.9488741,Engine Company 14,Engine House 14,4801 NORTH CAPITOL STREET NE,(202) 673-3214,20011,1,5,"Organized: June 8, 1898.

Original apparatus: Unknown make Hose Reel Carriage 1891 Clapp & Jones 1000 gpm steam fire engine.

1st Location: 413 8th Street NW.

2nd Location: New firehouse 4801 North Capitol Street NE with Rescue Squad No, 2 on June 14, 1945.

Current apparatus: 2003 Seagrave 1250 gpm pumper.

Engine 14
Ambulance 14
Medic Unit 14 ",60 64,Fort Totten,38.94886631,-77.00829364,399281.07,142329.91,288276,Fire_002,{81BA98DD-8623-4CCC-8368-D6376A02D9A7},2,,,,,
-76.98607513,38.86487324,Engine Company 15,Engine House 15,2101 14TH STREET SE,(202) 673-3215,20020,3,8,"Organized: April 15, 1898.

Original apparatus: Unknown make Hose Reel Carriage 1883 Clapp & Jones 450 gpm steam fire engine.

1st Location: 1345 V St. S.E. 2nd Location: New firehouse 2101 14th Street SE (same site) on December 7, 1968.

Current apparatus: 2005 Seagrave 1250 gpm pumper.

Engine 15
Battalion Fire Chief 3
EMS 3
Ambulance 15
Rescue Squad 3
Cave-In Unit
CISU
CSU-3
Rescue Squad 3 Support Unit",U2,Anacostia,38.86481438,-76.9860209,401208.69,133005.19,156246,Fire_031,{50E73988-93A6-4937-BF1F-335210C8D57E},3,,,,,
-77.03001791,38.90331845,Engine Company 16,Engine House 16,1018 13TH STREET NW,(202) 673-3216,20005,6,2,"Organized: October 24, 1904. Replaced 1st Chemical Co. 1.

Original apparatus: Unknown make Hose Reel Carriage 1886 Amoskeag 700 gpm steam fire engine.

1st Location: 1204 D Street NW in Chemical 1 firehouse (originally Franklin Fire Company then Engine Co. 2).

2nd Location: New firehouse 15th & D Streets NW.

3rd Location: With Truck Co. 3 and Water Tower No. 1 at 14th & Ohio Ave. NW on June 30, 1931.

4th Location: New firehouse 1018 13th Street NW with Truck Co. 3 and Water Tower 1.

Current apparatus: 2006 Seagrave 1250 gpm pumper.

Engine 16
Tower 3
Ambulance 16
Deputy Fire Chief of Operations
EMS 8
",66 68,McPherson Square,38.90331067,-77.03001561,397396.45,137273.24,240645,Fire_024,{0AA98376-D7BF-4603-A082-98FE2859510D},4,,,,,
-76.98993049,38.93233402,Engine Company 17,Engine House 17,1227 MONROE STREET NE,(202) 673-3217,20017,1,5,"Organized: April 22, 1905 Replaced Chemical Co. 4.

Original Apparatus: 1901 C.T. Holloway 70 gallon Combination Chemical Hose Wagon 1904 American LaFrance Metropolitan 500 gpm steam fire engine.

1st Location: 1227 Monroe Street NE in Chemical 4 firehouse.

Current Apparatus: 2005 Seagrave 1250 gpm pumper.

Engine 17
Medic Unit 17",G8,Brookland-CUA,38.93237829,-76.98990641,400873.27,140493.83,294510,Fire_008,{FB9D10BE-A87C-4DC2-B34C-E352C8C58C3B},5,,,,,
-77.03306488,38.93225428,Engine Company 11,Engine House 11,3420 14TH STREET NW,(202) 673-3211,20010,4,1,"Organized: July 1, 1897 Replaced 1st Chemical Co. 2.

Original apparatus: 1886 McDermott Hose Reel Carriage 1885 Clapp & Jones 450 gpm steam fire engine.

1st Location: 3119 14th Street NW in Chemical 2 firehouse.

2nd Location: With Truck Co. 6 at 1338 Park Rd. NW on June 4, 1940.

3rd Location: New firehouse 3420 14th Street NW with Truck 6 and Battalion Chief 4 on June 5, 1984.

Current apparatus: 2005 Seagrave 1250 gpm pumper.

Engine 11
Battalion Fire Chief 4
EMS 4
Ambulance 11
Truck Company 6
WS-54",52-54,Columbia Heights,38.93224649,-77.03306259,397133.32,140485.45,234580,Fire_012,{FA3B4517-46DA-4719-9C6C-4F7F8253595F},6,,,,,
-76.99463913,38.88326703,Engine Company 18,Engine House 18,414 8TH STREET SE,(202) 673-3218,20003,2,6,"Organized: November 18, 1905.

Original apparatus: 1898 McDermott Hose Reel Carriage 1905 American LaFrance Metropolitan 600 gpm steam fire engine.

1st Location: 1001 9th Street SE.

2nd Location: With Truck Co. 7 at 414 8th Street SE on June 30, 1940.

Current apparatus: 2008 Seagrave 1250 gpm pumper.

Engine 18
Ambulance 18
Truck Company 7",90 92 93,Eastern Market,38.88325925,-76.99463684,400465.33,135046.96,280007,Fire_020,{A0D20D93-9F1A-4F86-9A2E-940B34125CF4},7,,,,,
-76.96698956,38.87160382,Engine Company 19,Engine House 19,2813 PENNSYLVANIA AVENUE SE,(202) 673-3219,20003,3,7,"(1st) Fire Boat.

1905 - 1920.

Organized: December 9, 1905.

Original Apparatus: 1905 Harlan & Hollingsworth 6000 gpm steam powered 6000 gpm fireboat.

1st Location: Water Street near 7th Street SW.

Renamed Fire Boat 1 in 1920.

Engine 19
Ambulance 19
Medic Unit 19",M6,Stadium-Armory,38.87159604,-76.96698729,402864.79,133752.76,44167,Fire_005,{48AD5308-6201-48B6-B760-DEE507A5B170},8,,,,,
-77.07842514,38.94498137,Engine Company 20,Engine House 20,4300 WISCONSIN AVENUE NW,(202) 673-3220,20037,5,3,"Organized: January 23, 1907 Replaced 1st Chemical 3.

Original Apparatus: 1907 Seagrave 70 gallon Combination Chemical Hose Wagon. 1906 American LaFrance Metropolitan 500 gpm steam fire engine.

Location: 4300 Wisconsin Ave. NW in Chemical 3 firehouse.

Current Apparatus: 2003 Pierce 1250 gpm pumper.

Engine 20
Battalion Fire Chief 5
EMS 5
Ambulance 20
Truck Company 12",H2 H3 H4,Tenleytown | AU,38.94497358,-77.07842283,393201.59,141900.67,222965,Fire_016,{6127D949-5D77-46E1-9192-32F4DB64FD31},9,,,,,
-77.04221775,38.92477894,Engine Company 21,Engine House 21,1763 LANIER PLACE NW,(202) 673-3221,20009,5,1,"Organized: December 28, 1908.

Original Apparatus: 1908 American LaFrance 70 gallon Combination Chemical Hose Wagon. 1907 American LaFrance Metropolitan 700 gpm steam fire engine.

Location: 1763 Lanier Pl. NW.

Current Apparatus: 2006 Seagrave 1250 gpm pumper.

Engine 21
Medic Unit 21
WS-E-55",H5,Woodley Park-Zoo/Adams Morgan,38.92477115,-77.04221546,396339.34,139655.95,236004,Fire_013,{23D44C65-9A5A-4D43-B483-CC560AA82D7B},10,,,,,
-77.02660954,38.97342715,Engine Company 22,Engine House 22,6825 GEORGIA AVENUE NW,(202) 673-3222,20005,4,4,"Organized: December 2, 1908 Replaced 2nd Chemical 2.

Original apparatus: 1901 C.T. Holloway 70 gallon Combination Chemical Hose Wagon 1908 American LaFrance Metropolitan 500 gpm steam fire engine.

Location: 6825 Georgia Ave. NW in Chemical 2 firehouse.

Current apparatus: 2003 Pierce 1250 gpm pumper.

Engine 22
Ambulance 22
Truck Company 11",70 71,Takoma,38.973459,-77.026875,397694.36,145055.83,253890,Fire_001,{827E72D6-5B17-4935-9B82-0AAE0F327137},11,,,,,
-77.04762709,38.89859033,Engine Company 23,Engine House 23,2119 G STREET NW,(202) 673-3223,20037,6,2,"Organized: November 25, 1910.

Original Apparatus: 1908 US Fire Apparatus 70 gallon Combination Chemical Hose Wagon. 1909 American LaFrance Metropolitan 700 gpm steam fire engine.

Location: 2119 G Street NW.

Current Apparatus: 2006 Seagrave 1250 gpm pumper.

Engine 23
Ambulance 23",80,Foggy Bottom-GWU,38.89858254,-77.04762479,395868.76,136749.03,242505,Fire_027,{E78DFAC9-0C1B-465A-915A-246FEC0B7856},12,,,,,
-77.02716388,38.95211629,Engine Company 24,Engine House 24,5101 GEORGIA AVENUE NW,(202) 673-3224,20011,4,4,"Organized: November 28, 1911 First motorized company.

Original Apparatus: 1911 Waterous 500 gpm combination pumper/hose wagon. Ran single piece combination. Original two piece apparatus: 1912 James Boyd 50 gallon Combination Chemical Hose Wagon. 1912 Ahrens Fox 700 gpm steam fire engine.

1st Location: 3702 Georgia Ave, NW.

2nd Location: 5101 Georgia Ave. NW.

Current Apparatus: 2006 Seagrave 1250 gpm pumper.

Engine 24
Rescue Squad 2
Medic Unit 24
MCU-1
Arson Investigation
MAB-1
MAB-2
MCSU-1
MCSU-2
Rescue Squad 2
Support Unit
Confined Space Unit",70 71,Georgia Ave-Petworth,38.9521442,-77.02703227,397645.62,142690.14,251752,Fire_010,{1CFCA49F-8D6B-4A6A-8764-78A01DEF08CC},13,,,,,
-77.00078235,38.84316411,Engine Company 25,Engine House 25,3203 MARTIN LUTHER KING JR AVENUE SE,(202) 673-3225,20032,3,8,"Organized: July 2, 1913 Replaced Chemical 5.

Original apparatus: 1913 Ahrens Fox 700 gpm combination pumper hose wagon. Ran single piece combination. Original two piece Apparatus: 1919 DCFD Shop built 50 gallon Combination Chemical Hose Wagon. 1913 Ahrens Fox 700 gpm pumper.

Location: 3203 Nichols Ave. SE in Chemical 5 firehouse (now Martin Luther King Ave. SE).

Current Apparatus: 2006 Seagrave 1250 gpm pumper.

Engine 25
Medic Unit 25
Mass Decon",A2-8 A42-48,Congress Heights,38.84315633,-77.00078007,399932.28,130595.23,278344,Fire_003,{67092CC0-15F9-4BAD-AA91-B4F7607B5717},14,,,,,
